cell,axis,axis_value,axis_label,scenario,family,part_order,world,policy15,delay,t_irrev,cap_strength,cap_share,containment_strength,mutation_rate,adversarial_pressure,initial_exploit_mass_scale,resource_concentration_pressure,catastrophe_severity,action_channel_cost_scale,n,R,R_ci_lo,R_ci_hi,capture_threshold,capture_threshold_ci_lo,capture_threshold_ci_hi,permanence_probability,permanence_ci_lo,permanence_ci_hi,collapse_probability,collapse_ci_lo,collapse_ci_hi,capture_index,capture_index_ci_lo,capture_index_ci_hi,strict_zero_capture_probability,strict_zero_capture_ci_lo,strict_zero_capture_ci_hi,resource_hhi,resource_hhi_ci_lo,resource_hhi_ci_hi,max_lineage_share,max_lineage_share_ci_lo,max_lineage_share_ci_hi,exploitative_strategy_mass,exploitative_strategy_mass_ci_lo,exploitative_strategy_mass_ci_hi,cooperative_strategy_mass,cooperative_strategy_mass_ci_lo,cooperative_strategy_mass_ci_hi,strategy_diversity,strategy_diversity_ci_lo,strategy_diversity_ci_hi,response_diversity,response_diversity_ci_lo,response_diversity_ci_hi,welfare,welfare_ci_lo,welfare_ci_hi,minimum_zone_welfare,minimum_zone_welfare_ci_lo,minimum_zone_welfare_ci_hi,neighbor_harm_volume,neighbor_harm_volume_ci_lo,neighbor_harm_volume_ci_hi,aid_interception_volume,aid_interception_volume_ci_lo,aid_interception_volume_ci_hi,extraction_volume,extraction_volume_ci_lo,extraction_volume_ci_hi,deception_level,deception_level_ci_lo,deception_level_ci_hi,catastrophe_recovery_rate,catastrophe_recovery_rate_ci_lo,catastrophe_recovery_rate_ci_hi,mutation_survival,mutation_survival_ci_lo,mutation_survival_ci_hi,containment_cost,containment_cost_ci_lo,containment_cost_ci_hi,false_containment,false_containment_ci_lo,false_containment_ci_hi,delayed_consequence_true_harm_mi,delayed_consequence_true_harm_mi_ci_lo,delayed_consequence_true_harm_mi_ci_hi,irreversible_failures,irreversible_failures_ci_lo,irreversible_failures_ci_hi,containment_events,containment_events_ci_lo,containment_events_ci_hi,mutation_events,mutation_events_ci_lo,mutation_events_ci_hi,selection_delta_seen,selection_delta_seen_ci_lo,selection_delta_seen_ci_hi,initial_exploitative_strategy_mass,initial_exploitative_strategy_mass_ci_lo,initial_exploitative_strategy_mass_ci_hi,exploit_payoff_total,exploit_payoff_total_ci_lo,exploit_payoff_total_ci_hi,coop_payoff_total,coop_payoff_total_ci_lo,coop_payoff_total_ci_hi,no_strategy_observation_asserted,no_strategy_observation_asserted_ci_lo,no_strategy_observation_asserted_ci_hi,capture_component_resource_concentration,capture_component_resource_concentration_ci_lo,capture_component_resource_concentration_ci_hi,capture_component_exploit_mass,capture_component_exploit_mass_ci_lo,capture_component_exploit_mass_ci_hi,capture_component_neighbor_harm,capture_component_neighbor_harm_ci_lo,capture_component_neighbor_harm_ci_hi,capture_component_aid_interception,capture_component_aid_interception_ci_lo,capture_component_aid_interception_ci_hi,capture_component_coop_loss,capture_component_coop_loss_ci_lo,capture_component_coop_loss_ci_hi,containment_timer_activity,containment_timer_activity_ci_lo,containment_timer_activity_ci_hi,viable_probability,robust
decoupling,adversarial_pressure,0.6,adversarial_pressure=0.60,decoupling,C,3,W3_catastrophe_ambiguity,C_caps_only,2,8,0.62,0.18,0.62,0.18,0.6,1.0,1.0,1.0,1.0,80,4.0,4.0,4.0,0.5,0.5,0.5,1.0,0.954180263735425,1.0,0.0,0.0,0.0458197362645751,0.33584753380489407,0.33158009917877784,0.3401149684310103,0.0,0.0,0.0458197362645751,0.1746149163787119,0.16833417405134707,0.18089565870607674,0.15887874038414201,0.15155352618647308,0.16620395458181095,3.51139803351453e-05,-3.3709421121739475e-05,0.00010393738179203007,0.8902098384869678,0.8841200189532635,0.896299658020672,0.2058934763609528,0.2031739437021768,0.20861300901972876,0.9719636888576633,0.9642592477294749,0.9796681299858516,0.9675926517883904,0.9639464152399057,0.9712388883368751,0.886924577696044,0.8672690756163612,0.9065800797757269,0.3302142015798321,0.3247481468013619,0.33568025635830234,0.7353399355074222,0.7268496974515349,0.7438301735633094,0.8561655033511201,0.8482437681416639,0.8640872385605762,0.12196464561482875,0.11986985098270554,0.12405944024695197,0.9637741293351457,0.9613503617790301,0.9661978968912613,605.125,589.9834620553553,620.2665379446447,0.007522534666046907,0.007243710102222807,0.007801359229871007,0.350375,0.33577481195933473,0.36497518804066525,0.0006233853901838213,0.00016012288936711067,0.0010866478910005319,0.8875,0.7131876167278259,1.061812383272174,85.875,81.59285080726269,90.15714919273731,605.125,589.9834620553553,620.2665379446447,1.0,1.0,1.0,0.0,0.0,0.0,0.14202087750293363,-0.1498148807680087,0.43385663577387595,1823.0301785582953,1807.8396136152494,1838.2207435013413,1.0,1.0,1.0,0.18143944362171666,0.16349446554353142,0.1993844216999019,6.054134540542293e-05,-5.8119691589206e-05,0.00017920238240005186,1.0,1.0,1.0,0.6394260308760193,0.6320432151752479,0.6468088465767908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
decoupling,adversarial_pressure,0.6,adversarial_pressure=0.60,decoupling,C,3,W3_catastrophe_ambiguity,C_dyn_only,2,8,0.62,0.18,0.62,0.18,0.6,1.0,1.0,1.0,1.0,80,4.0,4.0,4.0,0.5,0.5,0.5,1.0,0.954180263735425,1.0,0.0,0.0,0.0458197362645751,0.317982126785011,0.3135858413062266,0.3223784122637954,0.0,0.0,0.0458197362645751,0.16598427158392054,0.15942615533070087,0.1725423878371402,0.14720210964362426,0.13925063892590858,0.15515358036133994,3.422296313699502e-05,-3.285404461151522e-05,0.00010129997088550527,0.911420168182292,0.9058329758382853,0.9170073605262987,0.20965336107709423,0.2063211337851869,0.21298558836900155,0.9579801539001215,0.9455773308956167,0.9703829769046263,0.9643440905438385,0.9597581861089727,0.9689299949787044,0.8529502239125357,0.8250743364046094,0.8808261114204621,0.3276551007610828,0.3200058049527228,0.3353043965694428,0.6399666010586277,0.63167451482908,0.6482586872881754,0.7480046114080345,0.7403859080280444,0.7556233147880247,0.10245892180630152,0.0998818659909882,0.10503597762161485,0.9641909585006007,0.9605561238788181,0.9678257931223833,593.0625,576.0482223270863,610.0767776729137,0.008547855913186613,0.008043990381537526,0.0090517214448357,0.338125,0.3060511239677183,0.37019887603228174,2.2206938677557006e-05,-2.1318661130454725e-05,6.573253848556873e-05,1.1375,0.9676024228870206,1.3073975771129793,86.0125,78.97470951338104,93.05029048661896,593.0625,576.0482223270863,610.0767776729137,1.0,1.0,1.0,0.0,0.0,0.0,0.07494400176391847,-0.07194624169336172,0.22183424522119866,1583.2132244975544,1560.6835497893621,1605.7428992057467,1.0,1.0,1.0,0.15678045849374125,0.1380429834845422,0.17551793350294032,5.9005108856887976e-05,-5.6644904502612425e-05,0.0001746551222163884,1.0,1.0,1.0,0.5564926965727197,0.5492821868078956,0.5637032063375438,0.0,0.0,0.0,0.0,0.0,0.0,0.0375,True
decoupling,adversarial_pressure,0.6,adversarial_pressure=0.60,decoupling,C,3,W3_catastrophe_ambiguity,C_full,2,8,0.62,0.18,0.62,0.18,0.6,1.0,1.0,1.0,1.0,80,4.0,4.0,4.0,0.5,0.5,0.5,1.0,0.954180263735425,1.0,0.0,0.0,0.0458197362645751,0.3192869641196915,0.3143610300766508,0.3242128981627322,0.0,0.0,0.0458197362645751,0.1684755876805674,0.16067242410966578,0.176278751251469,0.1491613666740235,0.1396666322524565,0.15865610109559047,0.0,0.0,0.0,0.9065275938033679,0.9003114411629632,0.9127437464437725,0.21085169690878885,0.20812682874411706,0.21357656507346065,0.949687824684873,0.937353147189047,0.962022502180699,0.9581767103365095,0.9535287260936546,0.9628246945793645,0.8221371349647649,0.7904130749773327,0.8538611949521971,0.32673808374157187,0.3190469437045915,0.3344292237785522,0.63809124735435,0.6314392077678052,0.6447432869408948,0.7421293413953894,0.7334260574406156,0.7508326253501633,0.10224689340597434,0.09981940111845164,0.10467438569349705,0.9599523028782982,0.955239213920591,0.9646653918360055,595.7875,579.5176956210752,612.0573043789249,0.00876403301924178,0.0082930527882169,0.009235013250266658,0.34049999999999997,0.3048097446905933,0.37619025530940664,4.2574324698485475e-05,-4.087135171054604e-05,0.00012602000110751698,1.175,1.0086044441318873,1.3413955558681128,89.225,82.60333219314772,95.84666780685227,595.7875,579.5176956210752,612.0573043789249,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1591.919105311577,1569.4852409885177,1614.352969634636,1.0,1.0,1.0,0.16389850448416082,0.14160375142444198,0.18619325754387966,0.0,0.0,0.0,1.0,1.0,1.0,0.554861954221174,0.5490775719720046,0.5606463364703435,0.0,0.0,0.0,0.0,0.0,0.0,0.05,True
decoupling,adversarial_pressure,0.8,adversarial_pressure=0.80,decoupling,C,3,W3_catastrophe_ambiguity,C_caps_only,2,8,0.62,0.18,0.62,0.18,0.8,1.0,1.0,1.0,1.0,80,4.0,4.0,4.0,0.5,0.5,0.5,0.875,0.7849700281693438,0.9306651696322249,0.0,0.0,0.0458197362645751,0.4567725285365449,0.4497549762230023,0.46379008085008744,0.0,0.0,0.0458197362645751,0.21781579122629688,0.20477877141895892,0.23085281103363484,0.18812807568936848,0.17722392856518462,0.19903222281355235,0.13191078162746997,0.1245152701588244,0.13930629309611553,0.8680892183701945,0.8606937069014934,0.8754847298388956,0.11670066084241462,0.11295731535074723,0.12044400633408202,0.9589349417518566,0.9472138650373905,0.9706560184663227,0.9459729278094542,0.9425844915583491,0.9493613640605593,0.8242438893067844,0.8044422760097047,0.844045502603864,0.33284172535113327,0.328371449325976,0.3373120013762905,0.9691258728699124,0.9598915681493524,0.9783601775904723,1.10435417308479,1.0953781817868335,1.1133301643827462,0.18218804137222538,0.18047398942905074,0.18390209331540003,0.9645772742214108,0.9607714314827557,0.968383116960066,477.5875,464.962253428777,490.21274657122297,0.010255928290026192,0.009854309929719031,0.010657546650333352,0.476125,0.4502870664562716,0.5019629335437285,0.01326567974246048,0.01206490730952314,0.014466452175397819,1.4875,1.3030226421220745,1.6719773578779256,115.35,109.11223644020967,121.58776355979032,477.5875,464.962253428777,490.21274657122297,1.0,1.0,1.0,0.07021694679980164,0.06710542117947702,0.07332847242012627,339.48270569501955,326.03112919971596,352.93428219032313,1364.5972301448242,1347.0493321020754,1382.145128187573,1.0,1.0,1.0,0.3031079045260171,0.26766694958026976,0.33854885947176444,0.22743238211632755,0.21468150027383517,0.24018326395881992,1.0,1.0,1.0,0.842718150321663,0.8346883201298716,0.8507479805134543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
decoupling,adversarial_pressure,0.8,adversarial_pressure=0.80,decoupling,C,3,W3_catastrophe_ambiguity,C_dyn_only,2,8,0.62,0.18,0.62,0.18,0.8,1.0,1.0,1.0,1.0,80,4.0,4.0,4.0,0.5,0.5,0.5,0.975,0.9133539994467789,0.9931172511018748,0.0,0.0,0.0458197362645751,0.4057101670213437,0.3971594166075422,0.4142609174351452,0.0,0.0,0.0458197362645751,0.20250393868685052,0.19063446420716945,0.21437341316653158,0.17869185860705067,0.16802579050773425,0.18935792670636709,0.09960732572997169,0.09269119018591918,0.1065234612740242,0.9003926742679159,0.8934765387238169,0.9073088098120149,0.19448851763714967,0.19033560939437297,0.19864142587992636,0.9475421899107793,0.9337277184600534,0.9613566613615052,0.9664508849698038,0.9622521332012028,0.9706496367384048,0.8635829626453662,0.8338377926207593,0.893328132669973,0.32748339433560375,0.3210385043712675,0.33392828429994,0.7680232959901764,0.7568480752335136,0.7791985167468392,0.8838842357285163,0.8737181037295201,0.8940503677275125,0.14809412108698727,0.1443388163305176,0.15184942584345695,0.9644963292637672,0.9604005370389085,0.9685921214886258,483.35,472.0237995667936,494.6762004332064,0.010506825189031233,0.00997170290428678,0.011041947473775685,0.41675000000000006,0.3813541082445356,0.45214589175546455,0.01191030127241659,0.01050605172151924,0.013314550823313938,1.6,1.3862006145584376,1.8137993854415626,104.825,97.42987862579386,112.22012137420614,483.35,472.0237995667936,494.6762004332064,1.0,1.0,1.0,0.06174475190189821,0.05893563237375179,0.06455387143004464,15.305452745177124,0.45186212808394366,30.159043362270303,1300.3408326672254,1274.2253371174568,1326.456328216994,1.0,1.0,1.0,0.2611223645021127,0.22720958027445254,0.2950351487297728,0.1717367684999512,0.15981239687227444,0.18366114012762796,1.0,1.0,1.0,0.6678463443392839,0.6581287610726206,0.6775639276059472,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,True
decoupling,adversarial_pressure,0.8,adversarial_pressure=0.80,decoupling,C,3,W3_catastrophe_ambiguity,C_full,2,8,0.62,0.18,0.62,0.18,0.8,1.0,1.0,1.0,1.0,80,4.0,4.0,4.0,0.5,0.5,0.5,0.9625,0.8954510802560568,0.9871656636992113,0.0,0.0,0.0458197362645751,0.40885758326577387,0.39957915891554135,0.4181360076160064,0.0,0.0,0.0458197362645751,0.20379481007307781,0.18985299090991603,0.2177366292362396,0.17588626561057225,0.16427298495775805,0.18749954626338644,0.10464610413350414,0.09780282923313484,0.11148937903387345,0.8953538958644145,0.888510620964001,0.902197170764828,0.19497088039047225,0.1906104730311474,0.1993312877497971,0.9459736447733009,0.9310035740826654,0.9609437154639364,0.9619765099698174,0.9568668320119957,0.9670861879276391,0.8524929290006036,0.8225384304314266,0.8824474275697806,0.32549361549230504,0.3186249387437083,0.3323622922409018,0.769287397294286,0.758988552099169,0.7795862424894029,0.8854071247020358,0.8750396386576623,0.8957746107464092,0.14901514645754438,0.14548699996638317,0.15254329294870558,0.9625703990196897,0.9583375990700473,0.966803198969332,483.15,471.3199597334218,494.98004026657816,0.010491871789698482,0.009872304935122629,0.011111438644274335,0.399875,0.36884059076370923,0.43090940923629073,0.013130418195634718,0.011578199410726861,0.014682636980542575,1.6625,1.4781874644537338,1.8468125355462663,105.0375,96.64281112921141,113.43218887078858,483.15,471.3199597334218,494.98004026657816,1.0,1.0,1.0,0.06121743677309317,0.05846898053811627,0.06396589300807008,30.969647186132384,18.355624890781456,43.58366948148331,1300.8978716493816,1275.4562683848535,1326.3394749139097,1.0,1.0,1.0,0.2636224542911269,0.22494148703689804,0.3023034215453558,0.1804243174715589,0.16862556764333597,0.19222306729978184,1.0,1.0,1.0,0.6689455628645965,0.6599900453036253,0.6779010804255677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
decoupling,adversarial_pressure,1.0,adversarial_pressure=1.00,decoupling,C,3,W3_catastrophe_ambiguity,C_caps_only,2,8,0.62,0.18,0.62,0.18,1.0,1.0,1.0,1.0,1.0,80,4.0,4.0,4.0,0.5,0.5,0.5,0.1875,0.11705207812728378,0.2865852570380757,0.0,0.0,0.0458197362645751,0.5373372120291042,0.5281460784055351,0.5465283456526734,0.0,0.0,0.0458197362645751,0.2486811539503464,0.23656509589347818,0.2607972120072146,0.20110211330138256,0.18945386952632162,0.2127503570764435,0.20974977305083944,0.19192388881567285,0.22757565728600604,0.7902502269446964,0.772424342709303,0.8080761111800897,0.057159672779983496,0.053471728661367665,0.06084761689859933,0.9200501833603102,0.9014281185116864,0.938672248208934,0.9260512387866056,0.9218688120456187,0.9302336655275925,0.7504559619761746,0.7391108924556549,0.7618010314966943,0.31761466210150974,0.3125252352904825,0.322704088912537,1.2053977446821844,1.1958238297102743,1.2149716596540945,1.3599646200553912,1.3486366481317498,1.3712925919790326,0.23127933901536496,0.22955561303871946,0.23300306499201046,0.9677881631389672,0.9657546331625756,0.9698216931153588,351.775,337.42536024842434,366.1246397515756,0.01493988653190528,0.014428507006114252,0.015451266057696308,0.735,0.7032999293216456,0.7667000706783543,0.01521214201113221,0.014247655479670926,0.016176628542593493,2.8375,2.62701359074512,3.0479864092548796,154.025,146.51526522152494,161.53473477847507,351.775,337.42536024842434,366.1246397515756,1.0,1.0,1.0,0.13851011557185347,0.12800078354448075,0.1490194475992262,400.384917757963,386.7548088290163,414.0150266869097,1096.596013870196,1076.6749265801375,1116.5171011602545,1.0,1.0,1.0,0.39305726525495804,0.3584399565210488,0.42767457398886727,0.3616375397428267,0.33090325657874636,0.39237182290690703,1.0,1.0,1.0,0.9973740169668128,0.9952474949290921,0.9995005390045335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
decoupling,adversarial_pressure,1.0,adversarial_pressure=1.00,decoupling,C,3,W3_catastrophe_ambiguity,C_dyn_only,2,8,0.62,0.18,0.62,0.18,1.0,1.0,1.0,1.0,1.0,80,4.0,4.0,4.0,0.5,0.5,0.5,0.8875,0.7998158913432244,0.9396738130517298,0.0,0.0,0.0458197362645751,0.447774699097197,0.43884401026890113,0.4567053879254929,0.0,0.0,0.0458197362645751,0.22595790272866054,0.213917157619632,0.23799864783768906,0.19290277205320008,0.181805785878613,0.20399975822778715,0.11450951273339434,0.10393677090098252,0.12508225456580616,0.8854904872638031,0.8749177454312859,0.8960632290963203,0.16818356488403902,0.1630443525749314,0.17332277719314662,0.9308377760074981,0.9128022516069814,0.9488733004080148,0.9495137151408803,0.9449273595077998,0.9541000707739609,0.8126629645851979,0.7867716714171193,0.8385542577532765,0.3164785072396132,0.3103399357026155,0.3226170787766109,0.9223370514688962,0.9092826227039379,0.9353914802338545,1.0481039216690695,1.0342954681146366,1.0619123752235025,0.19240407837124726,0.18772399147198598,0.19708416527050854,0.9645013971032534,0.9606386276002166,0.9683641666062903,431.3625,417.0984165886323,445.62658341136773,0.012351786857099489,0.01166042036218542,0.013043153352013557,0.49787499999999996,0.4577301220577269,0.538019877942273,0.013118605478926057,0.012252231779605025,0.013984979178247089,2.05,1.8243062453542942,2.2756937546457054,120.025,111.04951705118009,129.00048294881992,431.3625,417.0984165886323,445.62658341136773,1.0,1.0,1.0,0.08164381118590104,0.07589075434482359,0.08739686802697849,-0.626470778873691,-18.49786309840604,17.244921540658655,1131.79872414183,1100.4163293038127,1163.1811189798473,1.0,1.0,1.0,0.3281336903358556,0.29373156145291696,0.36253581921879424,0.19743019436792128,0.17920132913962505,0.2156590595962175,1.0,1.0,1.0,0.8020322186686055,0.7906805414816853,0.8133838958555257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
decoupling,adversarial_pressure,1.0,adversarial_pressure=1.00,decoupling,C,3,W3_catastrophe_ambiguity,C_full,2,8,0.62,0.18,0.62,0.18,1.0,1.0,1.0,1.0,1.0,80,4.0,4.0,4.0,0.5,0.5,0.5,0.8625,0.7703270280036946,0.9214536632044886,0.0,0.0,0.0458197362645751,0.44746764131192035,0.437867527562952,0.4570677550608887,0.0,0.0,0.0458197362645751,0.2271319847035683,0.2140407734299294,0.2402231959772072,0.1911818685490908,0.1790808931968802,0.2032828439013014,0.11596073990801378,0.10524218873526889,0.12667929108075868,0.8840392600892099,0.8733207089163479,0.8947578112620718,0.1687551558689167,0.16329647355615207,0.17421383818168135,0.9349285490282504,0.920643037974785,0.9492140600817158,0.9454580602698142,0.9399678952554176,0.9509482252842107,0.7910532213688389,0.7572840902969795,0.8248223524406983,0.3130530432740997,0.30709927692206074,0.3190068096261387,0.908953776212725,0.8961400818617541,0.9217674705636959,1.0323802291206092,1.0176893072639774,1.047071150977241,0.1916548292498662,0.1869297839191565,0.19637987458057593,0.9585626335073195,0.9489697090611642,0.9681555579534749,427.0,412.88689737078397,441.11310262921603,0.012341648192811885,0.01175610161368687,0.0129271947719369,0.5155000000000001,0.46581885827561964,0.5651811417243805,0.01321358366231872,0.012378600446831237,0.014048566877806203,2.05,1.8691624268905898,2.23083757310941,122.4375,113.97075516965629,130.9042448303437,427.0,412.88689737078397,441.11310262921603,1.0,1.0,1.0,0.08124098366183183,0.07588631727294008,0.08659565005072357,-7.027743923554927,-24.058410530790205,10.002922683680353,1146.23665385893,1120.765308201299,1171.707999516561,1.0,1.0,1.0,0.3314882102641634,0.294084749482338,0.36889167104598886,0.1999323101862307,0.18145204954356708,0.21841257082889431,1.0,1.0,1.0,0.7903945880110652,0.7792522450971775,0.8015369309249529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
decoupling,adversarial_pressure,1.2,adversarial_pressure=1.20,decoupling,C,3,W3_catastrophe_ambiguity,C_caps_only,2,8,0.62,0.18,0.62,0.18,1.2,1.0,1.0,1.0,1.0,80,4.0,4.0,4.0,0.5,0.5,0.5,0.125,0.06933483036777514,0.2150299718306562,0.0125,0.002209918618306224,0.06746432423965451,0.6305542826053626,0.594424789462704,0.6666837757480212,0.0,0.0,0.0458197362645751,0.5242611686844526,0.47551048627902626,0.573011851089879,0.2672780442691427,0.24039361804073325,0.2941624704975521,0.21763903543829394,0.14348939050782844,0.29178868036875943,0.7823609645528303,0.7082113196230461,0.8565106094826146,0.03377329675338629,0.028706587603759878,0.0388400059030127,0.7930768123184848,0.7716582349148892,0.8144953897220805,0.9086664650106753,0.8889229106266483,0.9284100193947022,0.6481589101963572,0.5824076839806205,0.7139101364120939,0.7459829695573568,0.4864171569652022,1.0055487821495113,1.2576177657964818,1.2425864503867823,1.2726490812061813,1.4140951772055697,1.3971812205016383,1.431009133909501,0.25130432992678725,0.24971549329089646,0.2528931665626781,0.9081972572753789,0.863850381691663,0.9525441328590949,247.0375,232.65238671315666,261.42261328684333,0.023658800359058894,0.023002542656636846,0.024315058061480942,1.121875,1.0803555032262941,1.1633944967737058,0.010999242273021861,0.009621286858664863,0.01237719768737886,5.975,5.733498394795281,6.216501605204718,233.7,225.30205653866693,242.09794346133305,247.0375,232.65238671315666,261.42261328684333,1.0,1.0,1.0,0.23485096953220802,0.21429275211766532,0.25540918694675074,1905.3291457627024,809.6312461500536,3001.027045375351,856.7292092752566,835.2374261476766,878.2209924028366,1.0,1.0,1.0,0.8333423271983657,0.7862836929954528,0.8804009614012785,0.2690594293881952,0.19185623183283895,0.3462626269435515,1.0,1.0,1.0,0.9992522826363525,0.9981183315753553,1.0003862336973495,0.14662991998383115,0.07309305520718333,0.22016678476047896,0.0,0.0,0.0,0.0,False
