world,axis,axis_value,axis_label,n,gap_CG,gap_CG_ci_lo,gap_CG_ci_hi,gap_AC,gap_AC_ci_lo,gap_AC_ci_hi
W2_pure_capture,action_channel_cost_scale,0.5,action_channel_cost_scale=0.50,80,0.15,0.07125959974122945,0.22874040025877054,0.15,0.07125959974122945,0.22874040025877054
W2_pure_capture,action_channel_cost_scale,1.0,action_channel_cost_scale=1.00,80,0.15,0.07125959974122945,0.22874040025877054,0.15,0.07125959974122945,0.22874040025877054
W2_pure_capture,action_channel_cost_scale,1.5,action_channel_cost_scale=1.50,80,0.15,0.07125959974122945,0.22874040025877054,0.15,0.07125959974122945,0.22874040025877054
W2_pure_capture,action_channel_cost_scale,2.0,action_channel_cost_scale=2.00,80,0.15,0.07125959974122945,0.22874040025877054,0.15,0.07125959974122945,0.22874040025877054
W2_pure_capture,action_channel_cost_scale,2.5,action_channel_cost_scale=2.50,80,0.15,0.07125959974122945,0.22874040025877054,0.15,0.07125959974122945,0.22874040025877054
W2_pure_capture,action_channel_cost_scale,3.0,action_channel_cost_scale=3.00,80,0.15,0.07125959974122945,0.22874040025877054,0.15,0.07125959974122945,0.22874040025877054
W2_pure_capture,adversarial_pressure,0.6,adversarial_pressure=0.60,80,1.0,1.0,1.0,0.0,0.0,0.0
W2_pure_capture,adversarial_pressure,0.8,adversarial_pressure=0.80,80,0.9625,0.9206053536546128,1.0043946463453872,0.35,0.23919146402208166,0.46080853597791827
W2_pure_capture,adversarial_pressure,1.0,adversarial_pressure=1.00,80,0.15,0.07125959974122945,0.22874040025877054,0.15,0.07125959974122945,0.22874040025877054
W2_pure_capture,adversarial_pressure,1.2,adversarial_pressure=1.20,80,0.0,0.0,0.0,0.0,0.0,0.0
W2_pure_capture,adversarial_pressure,1.4,adversarial_pressure=1.40,80,0.0,0.0,0.0,0.0,0.0,0.0
W2_pure_capture,adversarial_pressure,1.6,adversarial_pressure=1.60,80,0.0,0.0,0.0,-0.0125,-0.037,0.011999999999999997
W2_pure_capture,adversarial_pressure,1.8,adversarial_pressure=1.80,80,0.0,0.0,0.0,-0.1375,-0.21344049552616506,-0.06155950447383497
W2_pure_capture,cap_tightness,1.65,share=0.12;strength=0.45,80,0.1,0.033844831425549796,0.16615516857445023,0.1,0.033844831425549796,0.16615516857445023
W2_pure_capture,cap_tightness,1.8199999999999998,share=0.12;strength=0.62,80,0.15,0.07125959974122945,0.22874040025877054,0.15,0.07125959974122945,0.22874040025877054
W2_pure_capture,cap_tightness,2.02,share=0.12;strength=0.82,80,0.1,0.033844831425549796,0.16615516857445023,0.1,0.033844831425549796,0.16615516857445023
W2_pure_capture,cap_tightness,2.25,share=0.18;strength=0.45,80,0.1375,0.06155950447383497,0.21344049552616506,0.1375,0.06155950447383497,0.21344049552616506
W2_pure_capture,cap_tightness,2.42,share=0.18;strength=0.62,80,0.15,0.07125959974122945,0.22874040025877054,0.15,0.07125959974122945,0.22874040025877054
W2_pure_capture,cap_tightness,2.6199999999999997,share=0.18;strength=0.82,80,0.1,0.033844831425549796,0.16615516857445023,0.1,0.033844831425549796,0.16615516857445023
W2_pure_capture,cap_tightness,2.85,share=0.24;strength=0.45,80,0.125,0.05207078167102058,0.19792921832897942,0.125,0.05207078167102058,0.19792921832897942
W2_pure_capture,cap_tightness,3.02,share=0.24;strength=0.62,80,0.1375,0.06155950447383497,0.21344049552616506,0.1375,0.06155950447383497,0.21344049552616506
W2_pure_capture,cap_tightness,3.2199999999999998,share=0.24;strength=0.82,80,0.1125,0.042820830165244086,0.1821791698347559,0.1125,0.042820830165244086,0.1821791698347559
W2_pure_capture,cap_tightness,3.6500000000000004,share=0.32;strength=0.45,80,0.1125,0.042820830165244086,0.1821791698347559,0.1125,0.042820830165244086,0.1821791698347559
W2_pure_capture,cap_tightness,3.8200000000000003,share=0.32;strength=0.62,80,0.125,0.05207078167102058,0.19792921832897942,0.125,0.05207078167102058,0.19792921832897942
W2_pure_capture,cap_tightness,4.0200000000000005,share=0.32;strength=0.82,80,0.125,0.05207078167102058,0.19792921832897942,0.125,0.05207078167102058,0.19792921832897942
W2_pure_capture,catastrophe_severity,0.6,catastrophe_severity=0.60,80,0.15,0.07125959974122945,0.22874040025877054,0.15,0.07125959974122945,0.22874040025877054
W2_pure_capture,catastrophe_severity,0.8,catastrophe_severity=0.80,80,0.15,0.07125959974122945,0.22874040025877054,0.15,0.07125959974122945,0.22874040025877054
W2_pure_capture,catastrophe_severity,1.0,catastrophe_severity=1.00,80,0.15,0.07125959974122945,0.22874040025877054,0.15,0.07125959974122945,0.22874040025877054
W2_pure_capture,catastrophe_severity,1.2,catastrophe_severity=1.20,80,0.15,0.07125959974122945,0.22874040025877054,0.15,0.07125959974122945,0.22874040025877054
W2_pure_capture,catastrophe_severity,1.4,catastrophe_severity=1.40,80,0.15,0.07125959974122945,0.22874040025877054,0.15,0.07125959974122945,0.22874040025877054
W2_pure_capture,catastrophe_severity,1.6,catastrophe_severity=1.60,80,0.15,0.07125959974122945,0.22874040025877054,0.15,0.07125959974122945,0.22874040025877054
W2_pure_capture,delay,1,delay=1.00,80,0.25,0.15451323903814027,0.3454867609618597,0.25,0.15451323903814027,0.3454867609618597
W2_pure_capture,delay,2,delay=2.00,80,0.15,0.07125959974122945,0.22874040025877054,0.15,0.07125959974122945,0.22874040025877054
W2_pure_capture,delay,3,delay=3.00,80,0.1,0.033844831425549796,0.16615516857445023,0.1,0.033844831425549796,0.16615516857445023
W2_pure_capture,delay,4,delay=4.00,80,0.0625,0.009121277884502108,0.11587872211549789,0.0625,0.009121277884502108,0.11587872211549789
W2_pure_capture,delay,6,delay=6.00,80,0.025,-0.009428241277595839,0.05942824127759584,0.025,-0.009428241277595839,0.05942824127759584
W2_pure_capture,mutation_rate,0.0,mutation_rate=0.00,80,0.0,0.0,0.0,0.0,0.0,0.0
W2_pure_capture,mutation_rate,0.06,mutation_rate=0.06,80,0.0,0.0,0.0,0.0,0.0,0.0
W2_pure_capture,mutation_rate,0.12,mutation_rate=0.12,80,0.05,0.0019393842651789783,0.09806061573482103,0.05,0.0019393842651789783,0.09806061573482103
W2_pure_capture,mutation_rate,0.18,mutation_rate=0.18,80,0.15,0.07125959974122945,0.22874040025877054,0.15,0.07125959974122945,0.22874040025877054
W2_pure_capture,mutation_rate,0.24,mutation_rate=0.24,80,0.125,0.05207078167102058,0.19792921832897942,0.125,0.05207078167102058,0.19792921832897942
W2_pure_capture,mutation_rate,0.3,mutation_rate=0.30,80,0.0875,0.025189248545411984,0.149810751454588,0.0875,0.025189248545411984,0.149810751454588
W2_pure_capture,resource_concentration_pressure,0.7,resource_concentration_pressure=0.70,80,0.675,0.5717152761672125,0.7782847238327876,0.675,0.5717152761672125,0.7782847238327876
W2_pure_capture,resource_concentration_pressure,1.0,resource_concentration_pressure=1.00,80,0.15,0.07125959974122945,0.22874040025877054,0.15,0.07125959974122945,0.22874040025877054
W2_pure_capture,resource_concentration_pressure,1.3,resource_concentration_pressure=1.30,80,0.0125,-0.011999999999999997,0.037,0.0125,-0.011999999999999997,0.037
W2_pure_capture,resource_concentration_pressure,1.6,resource_concentration_pressure=1.60,80,0.0,0.0,0.0,0.0,0.0,0.0
W2_pure_capture,resource_concentration_pressure,2.0,resource_concentration_pressure=2.00,80,0.0,0.0,0.0,0.0,0.0,0.0
W2_pure_capture,signal_informativeness,1,signal_informativeness=1.00,80,0.25,0.15451323903814027,0.3454867609618597,0.25,0.15451323903814027,0.3454867609618597
W2_pure_capture,signal_informativeness,2,signal_informativeness=2.00,80,0.15,0.07125959974122945,0.22874040025877054,0.15,0.07125959974122945,0.22874040025877054
W2_pure_capture,signal_informativeness,3,signal_informativeness=3.00,80,0.1,0.033844831425549796,0.16615516857445023,0.1,0.033844831425549796,0.16615516857445023
W2_pure_capture,signal_informativeness,4,signal_informativeness=4.00,80,0.0625,0.009121277884502108,0.11587872211549789,0.0625,0.009121277884502108,0.11587872211549789
W2_pure_capture,signal_informativeness,6,signal_informativeness=6.00,80,0.025,-0.009428241277595839,0.05942824127759584,0.025,-0.009428241277595839,0.05942824127759584
W2_pure_capture,t_irrev,4,t_irrev=4.00,80,0.15,0.07125959974122945,0.22874040025877054,0.15,0.07125959974122945,0.22874040025877054
W2_pure_capture,t_irrev,6,t_irrev=6.00,80,0.15,0.07125959974122945,0.22874040025877054,0.15,0.07125959974122945,0.22874040025877054
W2_pure_capture,t_irrev,8,t_irrev=8.00,80,0.15,0.07125959974122945,0.22874040025877054,0.15,0.07125959974122945,0.22874040025877054
W2_pure_capture,t_irrev,10,t_irrev=10.00,80,0.15,0.07125959974122945,0.22874040025877054,0.15,0.07125959974122945,0.22874040025877054
W2_pure_capture,t_irrev,12,t_irrev=12.00,80,0.15,0.07125959974122945,0.22874040025877054,0.15,0.07125959974122945,0.22874040025877054
W3_catastrophe_ambiguity,action_channel_cost_scale,0.5,action_channel_cost_scale=0.50,80,0.8625,0.786559504473835,0.938440495526165,0.725,0.6205448736647093,0.8294551263352906
W3_catastrophe_ambiguity,action_channel_cost_scale,1.0,action_channel_cost_scale=1.00,80,0.8625,0.786559504473835,0.938440495526165,0.725,0.6205448736647093,0.8294551263352906
W3_catastrophe_ambiguity,action_channel_cost_scale,1.5,action_channel_cost_scale=1.50,80,0.8625,0.786559504473835,0.938440495526165,0.725,0.6205448736647093,0.8294551263352906
W3_catastrophe_ambiguity,action_channel_cost_scale,2.0,action_channel_cost_scale=2.00,80,0.8625,0.786559504473835,0.938440495526165,0.725,0.6205448736647093,0.8294551263352906
