world,axis,axis_value,axis_label,variant,n,permanence,permanence_ci_lo,permanence_ci_hi,robust,capture,welfare,containment_events,containment_timer_activity
W4_scavenger_catastrophe,adversarial_pressure,1.0,adversarial_pressure=1.00,C_full,80,0.7125,0.6053944721715182,0.8001321399160374,True,0.48789134408490875,0.9665689755273419,95.0875,3.9625
W4_scavenger_catastrophe,adversarial_pressure,1.2,adversarial_pressure=1.20,C_dyn_no_consequence,80,0.0,0.0,0.0458197362645751,False,0.7279625004374215,0.05003439330630936,0.0,0.0
W4_scavenger_catastrophe,adversarial_pressure,1.2,adversarial_pressure=1.20,C_dyn_only,80,0.4875,0.38107693944368337,0.5950685539629311,False,0.5100585157173512,0.9602195194057342,108.8625,7.1625
W4_scavenger_catastrophe,adversarial_pressure,1.2,adversarial_pressure=1.20,C_full,80,0.4375,0.3341368457196415,0.5465906213134304,False,0.5097877942990693,0.9600857583238873,108.65,6.2375
W4_scavenger_catastrophe,adversarial_pressure,1.4,adversarial_pressure=1.40,C_dyn_no_consequence,80,0.0,0.0,0.0458197362645751,False,0.7102859033256894,0.012306875195822716,0.0,0.0
W4_scavenger_catastrophe,adversarial_pressure,1.4,adversarial_pressure=1.40,C_dyn_only,80,0.3125,0.22150258327847644,0.4206798178207392,False,0.520977898393496,0.960300145080768,119.2125,5.675
W4_scavenger_catastrophe,adversarial_pressure,1.4,adversarial_pressure=1.40,C_full,80,0.2,0.1270273637929335,0.3004644779658116,False,0.5340664131364794,0.9478948820572628,127.2375,8.9375
W4_scavenger_catastrophe,adversarial_pressure,1.6,adversarial_pressure=1.60,C_dyn_no_consequence,80,0.0,0.0,0.0458197362645751,False,0.7043260621454922,0.006436291063845521,0.0,0.0
W4_scavenger_catastrophe,adversarial_pressure,1.6,adversarial_pressure=1.60,C_dyn_only,80,0.175,0.10720538981609888,0.2725774387558749,False,0.5490740383598366,0.949581566867022,134.2875,9.425
W4_scavenger_catastrophe,adversarial_pressure,1.6,adversarial_pressure=1.60,C_full,80,0.1875,0.11705207812728378,0.2865852570380757,False,0.5406929545663134,0.949846593840119,129.0125,9.85
W4_scavenger_catastrophe,adversarial_pressure,1.8,adversarial_pressure=1.80,C_dyn_no_consequence,80,0.0,0.0,0.0458197362645751,False,0.7105980181210968,0.004398458163068779,0.0,0.0
W4_scavenger_catastrophe,adversarial_pressure,1.8,adversarial_pressure=1.80,C_dyn_only,80,0.175,0.10720538981609888,0.2725774387558749,False,0.5579712889846828,0.9478257434726522,142.475,9.9375
W4_scavenger_catastrophe,adversarial_pressure,1.8,adversarial_pressure=1.80,C_full,80,0.2,0.1270273637929335,0.3004644779658116,False,0.5517867724716307,0.9416229753307516,147.575,13.65
W4_scavenger_catastrophe,default,0.0,default,C_dyn_no_consequence,80,0.0,0.0,0.0458197362645751,False,0.7249714074954996,0.10142947886336742,0.0,0.0
W4_scavenger_catastrophe,default,0.0,default,C_dyn_only,80,0.6375,0.5281059097698362,0.7342936627574055,True,0.48940592306267555,0.9666137621796411,93.6125,4.55
W4_scavenger_catastrophe,default,0.0,default,C_full,80,0.7125,0.6053944721715182,0.8001321399160374,True,0.48789134408490875,0.9665689755273419,95.0875,3.9625
W6_mutation_corridor,adversarial_pressure,0.6,adversarial_pressure=0.60,C_dyn_no_consequence,80,0.0,0.0,0.0458197362645751,False,0.3174207277284554,0.08904385137413115,0.0,0.0
W6_mutation_corridor,adversarial_pressure,0.6,adversarial_pressure=0.60,C_dyn_only,80,1.0,0.954180263735425,1.0,True,0.294191559261571,0.9575373791350895,47.1375,4.9625
